Height,Error Probability
2685971,8.171168990797993e-09
2685972,1.9786413790709483e-08
2685973,2.9354471466979627e-08
2685974,6.268274570616692e-08
2685975,1.1064735948686259e-07
2685976,2.5795738331151156e-07
2685977,3.4063953125270365e-07
2685978,2.5627741329339273e-07
2685979,3.3790457952018296e-07
2685980,1.220362269323105e-07
2685981,4.9646271566344536e-08
2685982,1.4647123714933985e-07
2685983,8.398084296740347e-08
2685984,1.4752898053879517e-07
2685985,1.951784805350896e-07
2685986,8.326510390106337e-08
2685987,1.9353937520159163e-07
2685988,7.750969495997506e-07
2685989,2.1367367104828216e-07
2685990,5.879633114410448e-07
2685991,1.8731563478065214e-07
2685992,8.76759945891234e-08
2685993,8.125029410887567e-08
2685994,1.1122285811161982e-07
2685995,1.1404604793723519e-07
2685996,1.0697392503489606e-07
2685997,5.333812041315922e-08
2685998,6.293117702930581e-08
2685999,6.280557237789857e-08
2686000,8.329209982685418e-08
2686001,1.1047385538140545e-07
2686002,1.6392624072227207e-08
2686003,6.28041215556119e-08
2686004,6.934957110977394e-08
2686005,3.726480820339993e-08
2686006,1.9352790388763007e-07
2686007,1.9517830935746705e-07
2686008,2.136739850914658e-07
2686009,1.104901101522565e-07
2686010,1.113821580537026e-07
2686011,1.4633178779971084e-07
2686012,1.936012599285619e-07
2686013,5.216032153883101e-08
2686014,8.487957523911609e-08
2686015,2.7376965662751394e-08
2686016,9.083750230238468e-09
2686017,8.210622093983203e-09
2686018,4.473082494949747e-09
2686019,6.053022163542231e-09
2686020,1.7774804672602874e-09
2686021,1.2996702369635446e-09
2686022,1.7735483051336138e-09
2686023,9.17032549446256e-10
2686024,4.860678631245111e-10
2686025,7.093623240481761e-10
2686026,1.8713118605697682e-10
2686027,1.868629552730716e-10
2686028,7.502648107112897e-11
2686029,9.337115470179417e-11
2686030,2.238489269849914e-11
2686031,2.2175187647007768e-11
2686032,6.597100186135563e-11
2686033,3.592169534388043e-10
2686034,3.676983508896219e-11
2686035,6.584814952435757e-11
2686036,1.849564029844725e-10
2686037,3.600352591875637e-10
2686038,4.977000496215844e-10
2686039,3.6291831988711015e-10
2686040,2.418843891791707e-09
2686041,6.042738296125542e-09
2686042,1.0981790413308657e-08
2686043,1.996298016630555e-08
2686044,6.096621630627031e-09
2686045,8.440243381196717e-09
2686046,1.9785649759857167e-08
2686047,1.1082286440273427e-08
2686048,1.982553328244682e-08
2686049,4.7112434217259304e-08
2686050,1.4627621919245185e-07
2686051,8.342365269200481e-08
2686052,2.9354471472904715e-08
2686053,1.2594558570891198e-08
2686054,1.1044491169672654e-07
2686055,8.342365270230784e-08
2686056,4.868055077215996e-08
2686057,3.655477458653362e-08
2686058,6.271564791274113e-08
2686059,1.1064736025757828e-07
2686060,1.5102859863262407e-07
2686061,6.478924728179441e-08
2686062,3.5368034588297397e-08
2686063,3.6742968060119316e-09
2686064,1.4758440765086576e-08
2686065,6.730475949196486e-09
2686066,1.105687205527282e-08
2686067,1.9793150906034995e-08
2686068,1.5264395947524553e-08
2686069,8.1733965260375e-09
2686070,1.4890254344767069e-08
2686071,1.978642053083048e-08
2686072,4.713073773967805e-08
2686073,1.4656040207609772e-07
2686074,4.559812980469295e-08
2686075,1.1056872055272827e-08
2686076,6.0530566595594306e-09
2686077,1.790840784856579e-09
2686078,9.548033050118824e-10
2686079,3.733748048239233e-10
2686080,1.4957329627627556e-10
2686081,6.597292194855039e-11
2686082,2.582395247303222e-10
2686083,9.453647437434954e-10
2686084,1.8392317281268755e-09
2686085,1.7779975800646864e-09
2686086,7.134426188864361e-10
2686087,9.55247767046099e-10
2686089,3.629217902927965e-10
2686090,4.977002666688334e-10
2686091,7.502576708047918e-11
2686092,1.3204797072072904e-10
2686093,6.864974298120156e-11
2686094,1.4808818669702214e-11
2686095,3.233460867621156e-11
2686096,1.8486672509283383e-10
2686097,1.8488249168008327e-10
2686098,4.976655597833085e-10
2686099,3.593561871285175e-10
2686100,9.457929890520642e-10
2686101,4.988181577305322e-10
2686102,4.463513206481563e-09
2686103,8.229432713134102e-09
2686104,1.0986243797993918e-08
2686105,2.3445775548859324e-09
2686106,6.1674132487607496e-09
2686107,1.2975032089920367e-09
2686108,2.5074173239020195e-09
2686109,6.041075518886061e-09
2686110,8.157422565869624e-09
2686111,2.6472084766670204e-08
2686112,8.229432713134102e-09
2686113,8.171174862699672e-09
2686114,1.4762391252621054e-08
2686115,8.440232283171265e-09
2686116,1.983074450710479e-08
2686117,6.268509733152243e-08
2686118,3.5419276160715624e-08
2686119,1.4628474551057464e-07
2686120,2.6402874782930065e-07
2686121,1.4629467387724087e-07
2686122,1.0687939825039917e-07
2686123,3.431062675658238e-08
2686124,2.0349251840551166e-08
2686125,4.71259855839614e-08
2686126,2.5624402905916214e-08
2686127,1.9352738834449366e-07
2686128,1.8731563478014014e-07
2686129,2.0363468560763013e-07
2686130,4.4746383359302676e-07
2686131,6.322781946470953e-08
2686132,3.3777787122419856e-07
2686133,1.4656040207611325e-07
2686134,2.5795738331151156e-07
2686135,5.890160983156094e-07
2686136,6.484567357162344e-07
2686137,2.0363468560764093e-07
2686138,7.753728243232214e-07
2686139,4.917366123025804e-07
2686140,1.1095124659787783e-07
2686141,4.4592669827573994e-07
2686142,8.599447100012192e-08
2686143,2.559176532925978e-07
2686144,5.881100366213327e-07
2686145,4.495095469146865e-07
2686146,7.815867469688489e-07
2686147,3.486338751371733e-07
2686148,1.6168669742910715e-07
2686149,1.1625893629956604e-07
2686150,3.943753890353563e-08
2686151,8.326001231674586e-08
