Height,Error Probability
3356476.0,2.1443252106290293e-13
3356477.0,3.085960973386915e-14
3356478.0,2.8326641694025066e-14
3356479.0,2.771169056434658e-14
3356480.0,6.585187377185891e-15
3356481.0,6.598314671377758e-15
3356482.0,1.138007881279706e-13
3356483.0,7.625427658453263e-14
3356484.0,7.164210722402981e-14
3356485.0,2.7910134764141037e-13
3356486.0,4.485373841079227e-14
3356487.0,1.2683669351560346e-14
3356488.0,2.7976244447120384e-14
3356489.0,7.65279693572282e-15
3356490.0,6.9313566706563485e-15
3356491.0,3.744300773796574e-15
3356492.0,3.70792022241622e-15
3356493.0,4.4230434760780013e-16
3356494.0,1.24068831319454e-15
3356495.0,7.746924271906236e-16
3356496.0,2.3047428933436187e-16
3356497.0,1.2402919677970554e-15
3356498.0,1.2887518210435316e-15
3356499.0,4.291802832701258e-16
3356500.0,1.240376924519292e-15
3356501.0,1.021765941264507e-14
3356502.0,3.6330087692625575e-15
3356503.0,4.471441655407246e-14
3356504.0,8.67939285749426e-14
3356505.0,6.614915934740775e-13
3356506.0,1.0005123131581937e-12
3356507.0,4.893850045575527e-12
3356508.0,4.955085131342894e-12
3356509.0,2.2541247156547667e-12
3356510.0,4.896143053726929e-12
3356511.0,3.4930400060479773e-12
3356512.0,9.871072870887235e-13
3356513.0,4.978911084317754e-14
3356514.0,4.307594389483631e-13
3356515.0,6.95736545138278e-13
3356516.0,1.0355416142131773e-11
3356517.0,4.907351775045493e-12
3356518.0,7.478074759034688e-12
3356519.0,7.1653355663947635e-12
3356520.0,1.0541891904545035e-12
3356521.0,1.5108919361506076e-12
3356522.0,1.014527542866325e-12
3356523.0,2.2476007416980465e-12
3356524.0,4.9073517750456075e-12
3356525.0,6.688208376408266e-13
3356526.0,1.0006068349427817e-12
3356527.0,3.338355791159922e-12
3356528.0,7.782207383223066e-13
3356529.0,3.3384383004206297e-12
3356530.0,2.248706655025913e-12
3356531.0,1.05418886844536e-12
3356532.0,3.3286041225459124e-12
3356533.0,1.4796594444229107e-12
3356534.0,1.0624398637055739e-13
3356535.0,3.4233983606672863e-15
3356536.0,2.340650382309257e-15
3356537.0,3.968035840385774e-15
3356538.0,3.719525134872827e-15
3356539.0,7.137899747304574e-16
3356540.0,3.7060115495737904e-15
3356541.0,6.2426612135760715e-15
3356542.0,6.14999715859101e-15
3356543.0,1.0216149314366085e-14
3356544.0,1.2667745970777954e-15
3356545.0,2.988501133429969e-16
3356546.0,1.86672688985763e-16
3356547.0,4.079692967944747e-16
3356548.0,9.350585639654999e-17
3356549.0,1.3026112808559614e-16
3356550.0,7.136292738021661e-16
3356551.0,7.293286657646663e-16
3356552.0,2.1435011502222174e-15
3356553.0,6.149978800061446e-15
3356554.0,2.305085864524786e-15
3356555.0,1.0216304751543734e-14
3356556.0,1.6887960159894226e-14
3356557.0,2.7031295016230564e-15
3356558.0,1.026119776880892e-14
3356559.0,9.171712485899944e-16
3356560.0,2.1364056928211614e-15
3356561.0,1.694383601515986e-14
3356562.0,2.789437944090207e-13
3356563.0,4.371288300485247e-13
3356564.0,4.3073937278694414e-13
3356565.0,7.1426246137862464e-12
3356566.0,1.4956842451358086e-11
3356567.0,3.863296232974311e-12
3356568.0,6.814570080363646e-13
3356569.0,2.2473700158149614e-12
3356570.0,1.4796594444229113e-12
3356571.0,5.341719639987797e-13
3356572.0,1.8272514151136716e-13
3356573.0,1.0005097523767058e-12
3356574.0,3.328651523841689e-12
3356575.0,4.3217726882660566e-13
3356576.0,7.625427655821419e-14
3356577.0,1.7969709010040936e-13
3356578.0,1.141858641774422e-13
3356579.0,1.1561675007022183e-13
3356580.0,7.191168063897913e-14
3356581.0,1.1561675026405508e-13
3356582.0,7.625462476940703e-14
3356583.0,1.2104243927376134e-13
3356584.0,2.800299092895094e-13
3356585.0,7.169477020613247e-14
3356586.0,7.191152805849468e-14
3356587.0,4.310183919463809e-13
3356588.0,1.208689056225615e-13
3356589.0,4.308339461027443e-13
3356590.0,2.798737713809846e-13
3356591.0,4.4915931520800984e-14
3356592.0,2.6274830244644913e-14
3356593.0,4.04676631219493e-15
3356594.0,3.654773058071584e-15
3356595.0,1.5826499715359463e-15
3356596.0,2.6673641735718263e-16
3356597.0,2.2998376552126573e-16
3356598.0,1.2402923246893654e-15
3356599.0,4.0645718070239945e-16
3356600.0,4.4227492198130545e-16
3356601.0,2.304742893327362e-16
3356602.0,7.137283073374926e-16
3356603.0,7.171248299414025e-16
3356604.0,2.143493775139334e-15
3356605.0,2.7594143594684047e-14
3356606.0,2.7894379436216176e-13
3356607.0,1.8979096095607642e-13
3356608.0,6.599089397467325e-13
3356609.0,4.371288308809127e-13
3356610.0,6.597356795542678e-13
3356611.0,2.952736092984719e-13
3356612.0,4.5497975781204285e-14
3356613.0,1.5826702422372581e-15
3356614.0,2.4366200206847732e-15
3356615.0,6.1236719476733344e-15
3356616.0,1.6943835972277148e-14
3356617.0,7.652280723257652e-15
3356618.0,1.0261197768808964e-14
3356619.0,6.242635602645491e-15
3356620.0,1.0224758617200659e-14
3356621.0,4.4714416554316415e-14
3356622.0,3.915870648534154e-15
3356623.0,2.762539068569644e-14
3356624.0,3.6334887635023515e-15
3356625.0,3.706010977795631e-15
3356626.0,6.128460596157588e-15
3356627.0,6.1284492003210165e-15
3356628.0,2.7704695680821158e-14
3356629.0,2.789107498578938e-13
3356630.0,6.9573654504348e-13
3356631.0,1.0013811939081407e-12
3356632.0,1.0036701005095479e-12
3356633.0,1.0036700996184718e-12
3356634.0,6.957365454304554e-13
3356635.0,4.3239156066538846e-13
3356636.0,8.679398354754505e-14
3356637.0,2.876507039261306e-14
3356638.0,2.952076918967415e-14
3356639.0,2.145308441234019e-15
3356640.0,1.6943860625983422e-14
3356641.0,4.485373873450845e-14
3356642.0,2.7891535074879483e-13
3356643.0,1.50557613069028e-12
3356644.0,3.324488484840675e-13
3356645.0,1.0013811939081407e-12
3356646.0,4.552488915072126e-13
3356647.0,6.693421747280003e-13
3356648.0,4.321826339902295e-13
3356649.0,4.3217727837032294e-13
3356650.0,1.0036700996300802e-12
3356651.0,4.552488906063391e-13
3356652.0,2.2474743110333724e-12
3356653.0,5.108533670128095e-13
3356654.0,1.491703360807546e-11
3356655.0,2.1604530623583895e-11
3356656.0,6.082475960626247e-11
3356657.0,6.070450635374379e-11
3356658.0,3.464334559597782e-11
3356659.0,7.344546399199224e-12
3356660.0,2.2070735029089493e-12
3356661.0,1.033126042106496e-12
3356662.0,1.5106923977169238e-12
3356663.0,4.907354615825686e-12
3356664.0,1.0479889048267292e-11
3356665.0,1.036095126084892e-11
3356666.0,1.0360943294729202e-11
3356667.0,1.492494203274019e-11
3356668.0,2.3613983426519533e-12
3356669.0,2.135847374390838e-11
3356670.0,1.0104096404135698e-11
3356671.0,1.2300947699467562e-11
3356672.0,7.43209442763553e-12
3356673.0,7.1709313933174655e-12
3356674.0,1.036099229747355e-11
3356675.0,4.9550851522744555e-12
3356676.0,1.0383589328506128e-11
3356677.0,2.3613983470930594e-12
3356678.0,1.5068693321231146e-12
3356679.0,7.162555025227072e-12
3356680.0,1.0830281458114007e-11
3356681.0,1.038749231924522e-11
3356682.0,1.5261125111163034e-12
3356683.0,2.248708470407552e-12
3356684.0,2.6184861303472863e-12
3356685.0,1.0904489559327212e-12
3356686.0,2.1788907870212768e-13
3356687.0,2.8018926001933196e-13
3356688.0,1.817873695056727e-13
3356689.0,6.593197125201112e-13
3356690.0,6.614590654617537e-13
3356691.0,2.7910134770923817e-13
3356692.0,4.371288300485304e-13
3356693.0,5.4447206900567625e-14
3356694.0,1.3681062091464876e-14
3356695.0,6.182758405346501e-15
3356696.0,4.471493119320052e-14
3356697.0,7.191152828860541e-14
3356698.0,4.307391832653568e-13
3356699.0,1.0145273166611424e-12
3356700.0,1.0145294979640614e-12
3356701.0,7.78223939823524e-13
3356702.0,4.356364285205083e-13
3356703.0,1.796030989795812e-13
3356704.0,7.191153023912004e-14
3356705.0,1.7909024119296711e-13
3356706.0,1.2086890562256378e-13
3356707.0,1.7900924032723414e-13
3356708.0,7.165057646635745e-14
3356709.0,4.4915931451939826e-14
3356710.0,1.0867542172928327e-14
3356711.0,2.296110865219311e-15
3356712.0,1.0216866926536371e-14
3356713.0,6.149978782037189e-15
3356714.0,4.5709508454261195e-15
3356715.0,3.690462021794833e-15
3356716.0,1.6888159090541966e-14
3356717.0,2.7704695702316656e-14
3356718.0,1.0259601172365486e-14
3356719.0,1.0259601172364244e-14
3356720.0,6.149978785471592e-15
3356721.0,1.7896741944404338e-13
3356722.0,1.8979096095607642e-13
3356723.0,6.594602328474556e-13
3356724.0,4.3217726882857587e-13
3356725.0,4.893850046098734e-12
3356726.0,5.658774529078149e-12
3356727.0,3.4278680673786863e-12
3356728.0,4.957183342540774e-12
3356729.0,5.65891581045303e-12
3356730.0,2.316315030169761e-12
